Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1           US   2025   2 34MNJMC     53.33MAY       2025Lecture 8                     
1           US   2025   2 34MNPYC     66.67MAY       2025Lecture 10                    
2           AU   2019   6 51FNJMC     73.33FEBRUARY  2019Lecture 11                    
2           AU   2019   6 51FNPYC      6.67JANUARY   2020Lecture 1                     
3           GB   2024   9 87UYJMC     73.33MAY       2024Lecture 11                    
3           GB   2024   9 87UYPYC     60.00AUGUST    2025Lecture 9                     
4           IN   2017   8 34MYJMC     53.33DECEMBER  2023Lecture 8                     
4           IN   2017   8 34MYPYC     13.33JUNE      2017Lecture 2                     
5           GB   2016   5 51MNJMC     40.00JULY      2021Lecture 6                     
5           GB   2016   5 51MNPYC     13.33FEBRUARY  2018Lecture 2                     
6           IN   2018   5 45MNJMC     93.33JULY      2024Lecture 14                    
6           IN   2018   5 45MNPYC     66.67APRIL     2019Lecture 10                    
7           GB   2015  10 59UNJMC     66.67DECEMBER  2015Lecture 10                    
7           GB   2015  10 59UNPYC     66.67SEPTEMBER 2022Lecture 10                    
8           IN   2016   5 26FYJMC     46.67FEBRUARY  2025Lecture 7                     
8           IN   2016   5 26FYPYC     13.33NOVEMBER  2020Lecture 2                     
9           GB   2015   9 44UYJMC     53.33NOVEMBER  2023Lecture 8                     
9           GB   2015   9 44UYPYC     13.33NOVEMBER  2022Lecture 2                     
10          GB   2023   5 84UYJMC     86.67JANUARY   2024Lecture 13                    
10          GB   2023   5 84UYPYC     66.67JANUARY   2023Lecture 10                    
11          US   2021  12 76FNJMC     40.00MARCH     2021Lecture 6                     
11          US   2021  12 76FNPYC     46.67NOVEMBER  2023Lecture 7                     
12          US   2017   3 89MYJMC     73.33JANUARY   2018Lecture 11                    
12          US   2017   3 89MYPYC     80.00MAY       2022Lecture 12                    
13          GB   2017   2 68UYJMC     26.67APRIL     2020Lecture 4                     
13          GB   2017   2 68UYPYC     86.67JANUARY   2022Lecture 13                    
14          GB   2022  12 62FYJMC     33.33DECEMBER  2024Lecture 5                     
14          GB   2022  12 62FYPYC     93.33JULY      2023Lecture 14                    
15          CN   2016   8 64FYJMC     13.33AUGUST    2018Lecture 2                     
15          CN   2016   8 64FYPYC     33.33JANUARY   2021Lecture 5                     
16          IN   2019   3 30FYJMC     53.33JULY      2023Lecture 8                     
16          IN   2019   3 30FYPYC     26.67MAY       2024Lecture 4                     
17          AU   2020   8 21MNJMC     46.67JUNE      2021Lecture 7                     
17          AU   2020   8 21MNPYC     40.00AUGUST    2024Lecture 6                     
18          IN   2021   6 22MYJMC     33.33MAY       2025Lecture 5                     
18          IN   2021   6 22MYPYC     26.67APRIL     2022Lecture 4                     
19          IN   2015   3 76FYJMC     93.33JANUARY   2017Lecture 14                    
19          IN   2015   3 76FYPYC     46.67JULY      2024Lecture 7                     
20          AU   2022   5 52MYJMC     40.00NOVEMBER  2025Lecture 6                     
20          AU   2022   5 52MYPYC      6.67JUNE      2025Lecture 1                     
21          IN   2020   2 38MNJMC     60.00JULY      2025Lecture 9                     
21          IN   2020   2 38MNPYC     86.67MARCH     2025Lecture 13                    
22          CN   2016  10 38MYJMC     53.33MARCH     2022Lecture 8                     
22          CN   2016  10 38MYPYC     33.33JANUARY   2022Lecture 5                     
23          CN   2022   9 66FYJMC      6.67MARCH     2023Lecture 1                     
23          CN   2022   9 66FYPYC     86.67FEBRUARY  2022Lecture 13                    
24          US   2016   6 54MNJMC     60.00AUGUST    2023Lecture 9                     
24          US   2016   6 54MNPYC     93.33JUNE      2023Lecture 14                    
25          CN   2022  11 42MYJMC     86.67MAY       2025Lecture 13                    
25          CN   2022  11 42MYPYC     26.67MAY       2022Lecture 4                     
